City,State,Type,Year,CrimePerCapita,Gini,HSPerc
,Mississippi,State,2017,0.003351094,0.479,0.844
Gulfport,Mississippi,Cities,2017,0.137377734,0.4765,0.894
,Missouri,State,2017,0.168478712,0.4618,0.897
Columbia,Missouri,Cities,2017,0.081576049,0.476,0.953
Independence,Missouri,Cities,2017,0.341719704,0.4398,0.876
Kansas City,Missouri,Cities,2017,0.927934541,0.4834,0.892
Lee'S Summit,Missouri,Cities,2017,0.103247122,0.3995,0.959
St. Louis,Missouri,Cities,2017,0.354513929,0.5017,0.882
,Montana,State,2017,0.1427901,0.4539,0.93
,Nebraska,State,2017,0.234365723,0.4391,0.913
Lincoln,Nebraska,Cities,2017,1.020900293,0.4416,0.929
Omaha,Nebraska,Cities,2017,0.066757457,0.4632,0.889
,Nevada,State,2017,0.016677568,0.4606,0.868
Henderson,Nevada,Cities,2017,0.033412968,0.4642,0.947
Reno,Nevada,Cities,2017,0.120709288,0.4564,0.897
,New Hampshire,State,2017,0.096812991,0.4386,0.931
Manchester,New Hampshire,Cities,2017,0.090370973,0.4238,0.88
,New Jersey,State,2017,0.549655305,0.4794,0.899
East Orange,New Jersey,Cities,2017,0.306936771,0.4202,0.884
Elizabeth,New Jersey,Cities,2017,0.07708555,0.4102,0.748
Jersey City,New Jersey,Cities,2017,0.037326525,0.504,0.877
Passaic,New Jersey,Cities,2017,0.422220033,0.4898,0.643
Trenton,New Jersey,Cities,2017,0.118721136,0.5283,0.723
Union City,New Jersey,Cities,2017,0.142749061,0.4823,0.686
,New Mexico,State,2017,0.03352378,0.4776,0.861
Albuquerque,New Mexico,Cities,2017,0.124693832,0.4662,0.913
,New York,State,2017,0.271040952,0.5157,0.866
Albany,New York,Cities,2017,0.407439852,0.4951,0.887
Buffalo,New York,Cities,2017,0.312293837,0.5084,0.857
Mount Vernon,New York,Cities,2017,0.29194097,0.4614,0.83
New Rochelle,New York,Cities,2017,0.625312656,0.5136,0.86
New York,New York,Cities,2017,0.356300064,0.5504,0.819
Rochester,New York,Cities,2017,0.143822121,0.5364,0.805
Yonkers,New York,Cities,2017,0.198457981,0.4823,0.802
,North Carolina,State,2017,0.16158204,0.4763,0.878
Asheville,North Carolina,Cities,2017,0.776888672,0.4561,0.932
Concord,North Carolina,Cities,2017,0.108984699,0.4461,0.86
Durham,North Carolina,Cities,2017,0.594601023,0.4767,0.874
Fayetteville,North Carolina,Cities,2017,0.340745356,0.4444,0.907
Greensboro,North Carolina,Cities,2017,0.206860173,0.4879,0.9
High Point,North Carolina,Cities,2017,0.088993308,0.4514,0.862
Jacksonville,North Carolina,Cities,2017,0.297207733,0.4367,0.92
Raleigh,North Carolina,Cities,2017,0.363045396,0.4359,0.913
Wilmington,North Carolina,Cities,2017,0.50241999,0.5356,0.919
,North Dakota,State,2017,0.198572134,0.4546,0.929
Bismarck,North Dakota,Cities,2017,0.537656088,0.4269,0.946
Fargo,North Dakota,Cities,2017,0.243052742,0.4454,0.954
,Ohio,State,2017,0.324223928,0.4642,0.903
Akron,Ohio,Cities,2017,0.709176747,0.4925,0.884
Cincinnati,Ohio,Cities,2017,1.370705679,0.5341,0.869
Cleveland,Ohio,Cities,2017,0.311404408,0.5045,0.811
Columbus,Ohio,Cities,2017,0.85988959,0.4374,0.894
Dayton,Ohio,Cities,2017,0.142682866,0.4965,0.814
Lorain,Ohio,Cities,2017,0.314109813,0.4817,0.798
Parma,Ohio,Cities,2017,0.126039829,0.3807,0.914
Toledo,Ohio,Cities,2017,0.072171942,0.4585,0.839
,Oklahoma,State,2017,0.086494979,0.4658,0.881
Lawton,Oklahoma,Cities,2017,0.106231542,0.4532,0.91
Norman,Oklahoma,Cities,2017,0.161194126,0.4798,0.935
,Oregon,State,2017,0.340351494,0.4593,0.91
Beaverton,Oregon,Cities,2017,0.303345905,0.4264,0.915
Eugene,Oregon,Cities,2017,3.980749807,0.5169,0.944
Gresham,Oregon,Cities,2017,0.177831522,0.4085,0.891
Hillsboro,Oregon,Cities,2017,0.372325077,0.3511,0.916
Portland,Oregon,Cities,2017,0.27717552,0.4718,0.927
Salem,Oregon,Cities,2017,0.294872173,0.4292,0.863
