State,numGroups,mostCommon,hateGroups
Nevada,7,Black Nationalist,"Israel United In Christ, The Daily Stormer, a2z Publications, Counter Terrorism Cell, Great Millstone, National Alliance Reform and Restoration Group, Vanguard America, The Right Stuff"
Kentucky,32,Black Nationalist,"Nation of Islam, The Daily Stormer, Israelite School of Universal Practical Knowledge, New Black Panther Party for Self Defense, Nordic Order Knights of the Ku Klux Klan , League of the South, Fellowship of God's Covenant People, Church of the National Knights of the Ku Klux Klan"
Maine,44,Ku Klux Klan,"Crew 38, New Albion, Traditionalist American Knights of the Ku Klux Klan"
Utah,3,General Hate,"Fundamentalist Latter Day Saints, Kingston Group, The Daily Stormer"
Rhode Island,2,Neo-Nazi,"Gallows Tree Wotansvolk Alliance, Traditionalist Worker Party, Vanguard America"
Nebraska,35,Neo-Nazi,"Great Millstone, Global Faith Institute, The Daily Stormer, National Socialist German Workers Party, The Right Stuff, Third Reich Books, Israelite Church of God in Jesus Christ, Vanguard America"
Kansas,25,Anti-LGBT,"Israel United In Christ, Midland Hammerskins, The Daily Stormer, Westboro Baptist Church"
Hawaii,4,Black Nationalist,Israelite School of Universal Practical Knowledge
Vermont,11,Neo-Nazi,"The Daily Stormer, The Right Stuff"
Wyoming,1,Neo-Nazi,Vanguard America
