cities,City,State,ginicor,hscor,articleplugin,Population,Gini,HSGrad,CrimesPerYear,CrimePerCapita,Latitude,Longitude,mostCommon
"new haven, connecticut",New Haven,Connecticut,-0.014,-0.173,Neither,128108,0.507,0.834,9.18,0.717,41.3112,-72.9245,Race
"stamford, connecticut",Stamford,Connecticut,0.088,0.225,Neither,125046,0.516,0.884,5.89,0.471,41.1035,-73.5583,Race
"waterbury, connecticut",Waterbury,Connecticut,0,0,Neither,109455,0.465,0.784,4.5,0.411,41.5583,-73.0361,Race
"wilmington, delaware",Wilmington,Delaware,0.517,-0.349,Neither,72423,0.535,0.815,2.5,0.345,39.7349,-75.5286,Race
"boca raton, florida",Boca Raton,Florida,0,0,Neither,87981,0.534,0.94,1.71,0.195,26.3749,-80.1078,Race
"clearwater, florida",Clearwater,Florida,0,0,Neither,110753,0.479,0.883,2,0.181,27.9787,-82.7623,Race
"davie, florida",Davie,Florida,0,0,Neither,95865,0.484,0.904,3,0.313,26.0789,-80.287,Race
"delray beach, florida",Delray Beach,Florida,0,0,Neither,66725,0.525,0.86,1.5,0.229,26.455,-80.0905,Race
"fort lauderdale, florida",Fort Lauderdale,Florida,0,0,Neither,179850,0.522,0.841,4.33,0.241,26.1412,-80.1464,Orientation
"fort myers, florida",Fort Myers,Florida,0,0,Neither,72029,0.499,0.796,1.8,0.25,26.6197,-81.8306,Race
"gainesville, florida",Gainesville,Florida,-0.088,-0.03,Neither,122085,0.535,0.927,6.08,0.498,29.6814,-82.3454,Race
"hollywood, florida",Hollywood,Florida,0,0,Neither,147675,0.467,0.856,1,0.068,26.0293,-80.1679,Religion
"homestead, florida",Homestead,Florida,0,0,Neither,68488,0.465,0.762,2.25,0.354,25.4664,-80.4472,Orientation
"jacksonville, florida",Jacksonville,Florida,0,0,Neither,827194,0.453,0.87,3.43,0.041,30.3322,-81.6749,Race
"largo, florida",Largo,Florida,0.05,0.613,HS,77190,0.433,0.877,1.44,0.187,27.9088,-82.7714,Race
"miami beach, florida",Miami Beach,Florida,0.031,0.49,Neither,89113,0.593,0.859,8.5,0.954,25.8171,-80.1396,Orientation
"miami gardens, florida",Miami Gardens,Florida,0,0,Neither,110916,0.421,0.786,2.43,0.219,25.9433,-80.2425,Race
"orlando, florida",Orlando,Florida,-0.356,-0.057,Neither,250536,0.478,0.881,4.11,0.164,28.4801,-81.3448,Race
"palm bay, florida",Palm Bay,Florida,-0.148,0.613,HS,104094,0.402,0.871,1.92,0.184,27.9861,-80.6628,Race
"pompano beach, florida",Pompano Beach,Florida,0,0,Neither,104328,0.485,0.802,2.57,0.246,26.2428,-80.1312,Race
"port st. lucie, florida",Port St. Lucie,Florida,0.66,-0.685,Both,168830,0.408,0.863,1.67,0.099,27.273,-80.3582,Race
"sunrise, florida",Sunrise,Florida,0,0,Neither,91701,0.422,0.88,1.5,0.164,26.1547,-80.2998,Race
"tampa, florida",Tampa,Florida,0,0,Neither,351853,0.533,0.848,6.83,0.194,27.9937,-82.4454,Race
"west palm beach, florida",West Palm Beach,Florida,0,0,Neither,106370,0.499,0.858,2.25,0.212,26.7468,-80.1315,Race
"atlanta, georgia",Atlanta,Georgia,-0.488,0.189,Neither,486821,0.575,0.877,6.45,0.133,33.7627,-84.4231,Orientation
"columbus, georgia",Columbus,Georgia,0,0,Neither,195798,0.494,0.867,3.33,0.17,32.51,-84.8771,Race
"warner robins, georgia",Warner Robins,Georgia,0,0,Neither,71394,0.418,0.9,1,0.14,32.5981,-83.6528,Race
"nampa, idaho",Nampa,Idaho,-0.293,-0.186,Neither,84804,0.386,0.837,3.92,0.462,43.5833,-116.5641,Race
"aurora, illinois",Aurora,Illinois,0.568,0.342,Neither,189226,0.428,0.773,4.42,0.233,41.7638,-88.2901,Race
"bloomington, illinois",Bloomington,Illinois,0.371,-0.563,Neither,75387,0.457,0.941,2.38,0.315,40.4756,-88.9698,Race
"chicago, illinois",Chicago,Illinois,-0.286,0.471,Neither,2767534,0.52,0.813,32.25,0.117,41.8373,-87.6861,Race
"decatur, illinois",Decatur,Illinois,-0.183,-0.349,Neither,75728,0.457,0.853,2.63,0.347,39.8555,-88.9337,Race
"peoria, illinois",Peoria,Illinois,0.508,-0.251,Neither,114626,0.504,0.881,2.8,0.244,40.7518,-89.6153,Race
"rockford, illinois",Rockford,Illinois,-0.179,-0.288,Neither,152381,0.482,0.809,6.17,0.405,42.2594,-89.0646,Race
"springfield, illinois",Springfield,Illinois,0.379,-0.394,Neither,116985,0.474,0.903,6.42,0.549,39.7713,-89.6538,Race
"bloomington, indiana",Bloomington,Indiana,0.277,0.475,Neither,78378,0.568,0.949,14.1,1.799,39.1637,-86.5257,Race
"fort wayne, indiana",Fort Wayne,Indiana,0.398,-0.433,Neither,253264,0.444,0.872,3.5,0.138,41.0885,-85.1436,Race
"hammond, indiana",Hammond,Indiana,0,0,Neither,78220,0.42,0.791,1.67,0.213,41.617,-87.4908,Race
"south bend, indiana",South Bend,Indiana,0,0,Neither,101798,0.463,0.825,4.6,0.452,41.6771,-86.269,Race
"topeka, kansas",Topeka,Kansas,0,0,Neither,125425,0.432,0.902,1.67,0.133,39.0347,-95.6955,Race
"wichita, kansas",Wichita,Kansas,0.436,-0.58,Neither,378356,0.458,0.866,18.08,0.478,37.6894,-97.344,Race
"new orleans, louisiana",New Orleans,Louisiana,0,0,Neither,356420,0.565,0.852,3.83,0.108,30.0687,-89.9288,Orientation
"shreveport, louisiana",Shreveport,Louisiana,0,0,Neither,195765,0.531,0.866,1,0.051,32.4659,-93.7959,Race
"portland, maine",Portland,Maine,0,0,Neither,66164,0.471,0.923,6.27,0.965,43.6772,-70.2713,Race
"baltimore, maryland",Baltimore,Maryland,0.467,-0.682,HS,627199,0.505,0.806,4.42,0.07,39.3051,-76.6144,Race
"brockton, massachusetts",Brockton,Massachusetts,0.534,-0.08,Neither,94661,0.426,0.813,4.63,0.489,42.0821,-71.0242,Race
