State,Name,CrimeType,NumCrimes
michigan,lansing,Disability,1
kansas,lawrence,Race,37
kansas,lawrence,Religion,5
kansas,lawrence,Orientation,9
kansas,lawrence,Disability,2
missouri,lee's summit,Race,26
missouri,lee's summit,Religion,6
missouri,lee's summit,Orientation,1
missouri,lee's summit,Disability,0
california,livermore,Race,17
california,livermore,Religion,8
california,livermore,Orientation,9
california,livermore,Disability,0
michigan,livonia,Race,31
michigan,livonia,Religion,7
michigan,livonia,Orientation,4
michigan,livonia,Disability,0
california,long beach,Race,55
california,long beach,Religion,18
california,long beach,Orientation,38
california,long beach,Disability,0
texas,longview,Race,35
texas,longview,Religion,1
texas,longview,Orientation,5
texas,longview,Disability,1
california,los angeles,Race,877
california,los angeles,Religion,382
california,los angeles,Orientation,383
california,los angeles,Disability,4
wisconsin,madison,Race,64
wisconsin,madison,Religion,18
wisconsin,madison,Orientation,20
wisconsin,madison,Disability,3
tennessee,memphis,Race,172
tennessee,memphis,Religion,28
tennessee,memphis,Orientation,115
tennessee,memphis,Disability,12
arizona,mesa,Race,41
arizona,mesa,Religion,13
arizona,mesa,Orientation,9
arizona,mesa,Disability,0
wisconsin,milwaukee,Race,126
wisconsin,milwaukee,Religion,21
wisconsin,milwaukee,Orientation,45
wisconsin,milwaukee,Disability,0
minnesota,minneapolis,Race,166
minnesota,minneapolis,Religion,54
minnesota,minneapolis,Orientation,101
minnesota,minneapolis,Disability,3
california,modesto,Race,39
california,modesto,Religion,12
california,modesto,Orientation,11
california,modesto,Disability,1
california,moreno valley,Race,21
california,moreno valley,Religion,3
california,moreno valley,Orientation,2
california,moreno valley,Disability,0
idaho,nampa,Race,27
idaho,nampa,Religion,1
idaho,nampa,Orientation,5
idaho,nampa,Disability,0
connecticut,new haven,Race,48
connecticut,new haven,Religion,9
connecticut,new haven,Orientation,19
connecticut,new haven,Disability,0
new york,new rochelle,Race,14
new york,new rochelle,Religion,15
new york,new rochelle,Orientation,3
new york,new rochelle,Disability,0
new york,new york,Race,673
new york,new york,Religion,1668
new york,new york,Orientation,686
new york,new york,Disability,5
california,newport beach,Race,16
california,newport beach,Religion,15
california,newport beach,Orientation,5
california,newport beach,Disability,0
virginia,newport news,Race,46
virginia,newport news,Religion,12
virginia,newport news,Orientation,14
virginia,newport news,Disability,0
virginia,norfolk,Race,69
virginia,norfolk,Religion,11
virginia,norfolk,Orientation,27
virginia,norfolk,Disability,2
oklahoma,norman,Race,28
oklahoma,norman,Religion,3
oklahoma,norman,Orientation,3
oklahoma,norman,Disability,0
nevada,north las vegas,Race,26
nevada,north las vegas,Religion,5
nevada,north las vegas,Orientation,7
nevada,north las vegas,Disability,0
california,norwalk,Race,36
california,norwalk,Religion,2
california,norwalk,Orientation,5
california,norwalk,Disability,0
california,oakland,Race,65
california,oakland,Religion,15
california,oakland,Orientation,51
california,oakland,Disability,0
california,oceanside,Race,63
california,oceanside,Religion,14
california,oceanside,Orientation,11
california,oceanside,Disability,0
california,orange,Race,15
california,orange,Religion,6
california,orange,Orientation,4
california,orange,Disability,0
california,oxnard,Race,31
california,oxnard,Religion,2
california,oxnard,Orientation,8
california,oxnard,Disability,0
florida,palm bay,Race,14
florida,palm bay,Religion,2
florida,palm bay,Orientation,1
florida,palm bay,Disability,1
california,palmdale,Race,51
california,palmdale,Religion,8
california,palmdale,Orientation,10
california,palmdale,Disability,0
ohio,parma,Race,12
ohio,parma,Religion,2
ohio,parma,Orientation,0
ohio,parma,Disability,0
california,pasadena,Race,43
california,pasadena,Religion,9
california,pasadena,Orientation,9
california,pasadena,Disability,0
new jersey,passaic,Race,11
new jersey,passaic,Religion,14
new jersey,passaic,Orientation,2
new jersey,passaic,Disability,1
rhode island,pawtucket,Race,9
rhode island,pawtucket,Religion,5
rhode island,pawtucket,Orientation,7
rhode island,pawtucket,Disability,0
pennsylvania,philadelphia,Race,104
pennsylvania,philadelphia,Religion,44
